"concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
0,"No matching concept","Metadata","None","Undefined",,"No matching concept",19700101,20991231,
40225008,"influenza A-California-7-2009-(H1N1)v-like virus vaccine 0.03 MG/ML / influenza B virus vaccine B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza virus vaccine, inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain 0.03 MG/ML Injectable...","Drug","RxNorm","Branded Drug","S","1006141",20100905,20991231,
836208,"succinylcholine","Drug","RxNorm","Ingredient","S","10154",19700101,20991231,
1036228,"sucralfate","Drug","RxNorm","Ingredient","S","10156",19700101,20991231,
1436678,"tamoxifen","Drug","RxNorm","Ingredient","S","10324",19700101,20991231,
40228152,"dabigatran etexilate","Drug","RxNorm","Ingredient","S","1037042",20101031,20991231,
1037005,"dronabinol","Drug","RxNorm","Ingredient","S","10402",19700101,20991231,
19137312,"thiamine","Drug","RxNorm","Ingredient","S","10454",19700101,20991231,
1300673,"thrombin","Drug","RxNorm","Ingredient","S","10528",19700101,20991231,
40233648,"chlorpheniramine maleate 1 MG","Drug","RxNorm","Clinical Drug Comp","S","1053623",20110206,20991231,
1301125,"epoetin alfa","Drug","RxNorm","Ingredient","S","105694",19700101,20991231,
902722,"tobramycin","Drug","RxNorm","Ingredient","S","10627",19700101,20991231,
1103314,"tramadol","Drug","RxNorm","Ingredient","S","10689",19700101,20991231,
703547,"trazodone","Drug","RxNorm","Ingredient","S","10737",19700101,20991231,
1705674,"trimethoprim","Drug","RxNorm","Ingredient","S","10829",19700101,20991231,
40233964,"triamcinolone acetonide 0.001 MG/MG Topical Ointment","Drug","RxNorm","Clinical Drug","S","1085636",20110206,20991231,
40233993,"triamcinolone acetonide 0.25 MG/ML Topical Cream","Drug","RxNorm","Clinical Drug","S","1085644",20110206,20991231,
40234010,"triamcinolone acetonide 0.5 MG/ML Topical Cream","Drug","RxNorm","Clinical Drug","S","1085977",20110206,20991231,
19010871,"tuberculin","Drug","RxNorm","Ingredient","S","10908",19700101,20991231,
40238256,"divalproex sodium 500 MG Extended Release Oral Tablet","Drug","RxNorm","Clinical Drug","S","1099572",20110501,20991231,
40237988,"valproic acid 100 MG","Drug","RxNorm","Clinical Drug Comp","S","1099702",20110501,20991231,
40238243,"divalproex sodium 200 MG","Drug","RxNorm","Clinical Drug Comp","S","1099767",20110501,20991231,
40238244,"divalproex sodium 200 MG Delayed Release Oral Tablet","Drug","RxNorm","Clinical Drug","S","1099768",20110501,20991231,
1707687,"vancomycin","Drug","RxNorm","Ingredient","S","11124",19700101,20991231,
40241331,"rivaroxaban","Drug","RxNorm","Ingredient","S","1114195",20110731,20991231,
1507835,"vasopressin (USP)","Drug","RxNorm","Ingredient","S","11149",19700101,20991231,
40241186,"ticagrelor","Drug","RxNorm","Ingredient","S","1116632",20110731,20991231,
1307863,"verapamil","Drug","RxNorm","Ingredient","S","11170",19700101,20991231,
19008339,"vitamin A","Drug","RxNorm","Ingredient","S","11246",19700101,20991231,
19010970,"vitamin B complex","Drug","RxNorm","Ingredient","S","11251",19700101,20991231,
19009405,"vitamin D","Drug","RxNorm","Ingredient","S","11253",19700101,20991231,
19009540,"vitamin E","Drug","RxNorm","Ingredient","S","11256",19700101,20991231,
1310149,"warfarin","Drug","RxNorm","Ingredient","S","11289",19700101,20991231,
711584,"levetiracetam","Drug","RxNorm","Ingredient","S","114477",19700101,20991231,
1511646,"pamidronate","Drug","RxNorm","Ingredient","S","11473",19700101,20991231,
19011773,"ascorbic acid","Drug","RxNorm","Ingredient","S","1151",19700101,20991231,
1512446,"doxercalciferol","Drug","RxNorm","Ingredient","S","11516",19700101,20991231,
712615,"ziprasidone","Drug","RxNorm","Ingredient","S","115698",19700101,20991231,
40243435,"atropine sulfate 1 MG/ML","Drug","RxNorm","Clinical Drug Comp","S","1190794",20111106,20991231,
1112807,"aspirin","Drug","RxNorm","Ingredient","S","1191",19700101,20991231,
40244464,"ruxolitinib","Drug","RxNorm","Ingredient","S","1193326",20111204,20991231,
1314002,"atenolol","Drug","RxNorm","Ingredient","S","1202",19700101,20991231,
1714277,"voriconazole","Drug","RxNorm","Ingredient","S","121243",19700101,20991231,
42705353,"lurasidone hydrochloride 20 MG","Drug","RxNorm","Clinical Drug Comp","S","1235246",20120507,20991231,
42705722,"phenol Oral Lozenge [Cepastat]","Drug","RxNorm","Branded Drug Form","S","1242122",20120507,20991231,
42709324,"vitamin D3","Drug","RxNorm","Ingredient","S","1244014",20120507,20991231,
42706627,"docusate sodium 10 MG","Drug","RxNorm","Clinical Drug Comp","S","1248201",20120507,20991231,
1715117,"aztreonam","Drug","RxNorm","Ingredient","S","1272",19700101,20991231,
715233,"baclofen","Drug","RxNorm","Ingredient","S","1292",19700101,20991231,
42903857,"polacrilin","Drug","RxNorm","Ingredient","S","1314376",20121203,20991231,
42903893,"ovalbumin","Drug","RxNorm","Ingredient","S","1314593",20121203,20991231,
19011331,"barium sulfate","Drug","RxNorm","Ingredient","S","1331",19700101,20991231,
915542,"brimonidine","Drug","RxNorm","Ingredient","S","134615",19700101,20991231,
715997,"donepezil","Drug","RxNorm","Ingredient","S","135447",19700101,20991231,
42902665,"fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair]","Drug","RxNorm","Branded Drug","S","1359778",20121203,20991231,
