source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
,0,usagi,Dysuria,197684,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Resistance to penicillins,43531022,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Other ureteric obstruction,35624296,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Acute vascular insufficiency of intestine,201894,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Other chronic pancreatitis,195596,SNOMED,1970-01-01,2099-12-31,
,0,usagi,"Body mass index (BMI) 32.0-32.9, adult",605056,SNOMED,1970-01-01,2099-12-31,
,0,usagi,"Adverse effect of penicillins, initial encounter",4320824,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Sepsis due to Methicillin resistant Staphylococcus aureus,40491960,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Chronic lymphocytic leukemia of B-cell type not having achieved remission,4173974,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Other malaise and fatigue,439926,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Pulmonary congestion and hypostasis,438791,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Secondary esophageal varices with bleeding,28779,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Encounter for attention to tracheostomy,3178000,Nebraska Lexicon,1970-01-01,2099-12-31,
,0,usagi,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,253790,SNOMED,1970-01-01,2099-12-31,
,0,usagi,"Constipation, unspecified",75860,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Overflow incontinence,197378,SNOMED,1970-01-01,2099-12-31,
,0,usagi,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",4150309,SNOMED,1970-01-01,2099-12-31,
,0,usagi,"Cyst of kidney, acquired",4059601,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Tinea cruris,4160328,SNOMED,1970-01-01,2099-12-31,
,0,usagi,Other viral infections of unspecified site,44813345,SNOMED,1970-01-01,2099-12-31,
,0,usagi,"Malignant neoplasm of anus, unspecified site",436919,SNOMED,1970-01-01,2099-12-31,
