source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
456,0,usagi,Aspirin EC,1112807,RxNorm,1970-01-01,2099-12-31,
91,0,usagi,Gemfibrozil,1558242,RxNorm,1970-01-01,2099-12-31,
383,0,usagi,Propofol,753626,RxNorm,1970-01-01,2099-12-31,
37,0,usagi,Heparin,1367571,RxNorm,1970-01-01,2099-12-31,
474,0,usagi,Trimethoprim,1705674,RxNorm,1970-01-01,2099-12-31,
328,0,usagi,DiphenhydrAMINE,1129625,RxNorm,1970-01-01,2099-12-31,
529,0,usagi,Hydrocortisone Cream 2.5%,19021351,RxNorm,1970-01-01,2099-12-31,
457,0,usagi,Citalopram,797617,RxNorm,1970-01-01,2099-12-31,
182,0,usagi,Potassium Phosphate Replacement (Oncology),19027362,RxNorm,1970-01-01,2099-12-31,
530,0,usagi,Alprazolam,781039,RxNorm,1970-01-01,2099-12-31,
38,0,usagi,LevETIRAcetam,711584,RxNorm,1970-01-01,2099-12-31,
475,0,usagi,Propranolol LA,1353766,RxNorm,1970-01-01,2099-12-31,
92,0,usagi,Nystatin Cream,40068160,RxNorm,1970-01-01,2099-12-31,
384,0,usagi,Tacrolimus Suspension,950637,RxNorm,1970-01-01,2099-12-31,
458,0,usagi,DULoxetine,715259,RxNorm,1970-01-01,2099-12-31,
329,0,usagi,PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose),734275,RxNorm,1970-01-01,2099-12-31,
183,0,usagi,Cepacol (Menthol),19123003,RxNorm,1970-01-01,2099-12-31,
39,0,usagi,Raltegravir,1712889,RxNorm,1970-01-01,2099-12-31,
93,0,usagi,Lactulose,987245,RxNorm,1970-01-01,2099-12-31,
531,0,usagi,TraMADol,1103314,RxNorm,1970-01-01,2099-12-31,
385,0,usagi,Etoposide,1350504,RxNorm,1970-01-01,2099-12-31,
476,0,usagi,Aspirin 81 mg ,1113309,RxNorm,1970-01-01,2099-12-31,
459,0,usagi,Multivitamins,19008339,RxNorm,1970-01-01,2099-12-31,
330,0,usagi,Alteplase,1347450,RxNorm,1970-01-01,2099-12-31,
40,0,usagi,Calcium Carbonate,19035704,RxNorm,1970-01-01,2099-12-31,
532,0,usagi,Bengay Cream,19041930,RxNorm,1970-01-01,2099-12-31,
386,0,usagi,Cytarabine,1311078,RxNorm,1970-01-01,2099-12-31,
94,0,usagi,Neutra-Phos,40072722,RxNorm,1970-01-01,2099-12-31,
331,0,usagi,Fleet Enema,40065004,RxNorm,1970-01-01,2099-12-31,
184,0,usagi,Potassium Chloride Replacement (Oncology),19049105,RxNorm,1970-01-01,2099-12-31,
477,0,usagi,Lenalidomide (Revlimide)15mg ,19025426,RxNorm,1970-01-01,2099-12-31,
41,0,usagi,Rifaximin,1735947,RxNorm,1970-01-01,2099-12-31,
533,0,usagi,Iohexol 240,19080985,RxNorm,1970-01-01,2099-12-31,
332,0,usagi,Lidocaine 2%,989878,RxNorm,1970-01-01,2099-12-31,
95,0,usagi,Labetalol,1386957,RxNorm,1970-01-01,2099-12-31,
478,0,usagi,Psyllium,957797,RxNorm,1970-01-01,2099-12-31,
460,0,usagi,Nephrocaps,1343916,RxNorm,1970-01-01,2099-12-31,
387,0,usagi,Mitoxantrone HCl,1309188,RxNorm,1970-01-01,2099-12-31,
185,0,usagi,Hemorrhoidal Suppository,40166418,RxNorm,1970-01-01,2099-12-31,
42,0,usagi,LeVETiracetam,711584,RxNorm,1970-01-01,2099-12-31,
479,0,usagi,Psyllium Wafer,40074718,RxNorm,1970-01-01,2099-12-31,
534,0,usagi,Nicotine Polacrilex,42903857,RxNorm,1970-01-01,2099-12-31,
96,0,usagi,GlipiZIDE,1560171,RxNorm,1970-01-01,2099-12-31,
388,0,usagi,Voriconazole,1714277,RxNorm,1970-01-01,2099-12-31,
333,0,usagi,Readi-Cat 2 (Barium Sulfate 2% Suspension),19011331,RxNorm,1970-01-01,2099-12-31,
461,0,usagi,Diltiazem Extended-Release,40035694,RxNorm,1970-01-01,2099-12-31,
97,0,usagi,Haloperidol,766529,RxNorm,1970-01-01,2099-12-31,
186,0,usagi,Heparin Flush (100 units/ml),1367697,RxNorm,1970-01-01,2099-12-31,
43,0,usagi,Sulfameth/Trimethoprim DS,40101830,RxNorm,1970-01-01,2099-12-31,
389,0,usagi,Milrinone,1368671,RxNorm,1970-01-01,2099-12-31,
