source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
456,0,RxNorm,Aspirin EC,1112807,RxNorm,1970-01-01,2099-12-31,
91,0,RxNorm,Gemfibrozil,1558242,RxNorm,1970-01-01,2099-12-31,
383,0,RxNorm,Propofol,753626,RxNorm,1970-01-01,2099-12-31,
37,0,RxNorm,Heparin,1367571,RxNorm,1970-01-01,2099-12-31,
474,0,RxNorm,Trimethoprim,1705674,RxNorm,1970-01-01,2099-12-31,
328,0,RxNorm,DiphenhydrAMINE,1129625,RxNorm,1970-01-01,2099-12-31,
529,0,RxNorm,Hydrocortisone Cream 2.5%,19021351,RxNorm,1970-01-01,2099-12-31,
457,0,RxNorm,Citalopram,797617,RxNorm,1970-01-01,2099-12-31,
182,0,RxNorm,Potassium Phosphate Replacement (Oncology),19027362,RxNorm,1970-01-01,2099-12-31,
530,0,RxNorm,Alprazolam,781039,RxNorm,1970-01-01,2099-12-31,
38,0,RxNorm,LevETIRAcetam,711584,RxNorm,1970-01-01,2099-12-31,
475,0,RxNorm,Propranolol LA,1353766,RxNorm,1970-01-01,2099-12-31,
92,0,RxNorm,Nystatin Cream,40068160,RxNorm,1970-01-01,2099-12-31,
384,0,RxNorm,Tacrolimus Suspension,950637,RxNorm,1970-01-01,2099-12-31,
458,0,RxNorm,DULoxetine,715259,RxNorm,1970-01-01,2099-12-31,
329,0,RxNorm,PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose),734275,RxNorm,1970-01-01,2099-12-31,
183,0,RxNorm,Cepacol (Menthol),19123003,RxNorm,1970-01-01,2099-12-31,
39,0,RxNorm,Raltegravir,1712889,RxNorm,1970-01-01,2099-12-31,
93,0,RxNorm,Lactulose,987245,RxNorm,1970-01-01,2099-12-31,
531,0,RxNorm,TraMADol,1103314,RxNorm,1970-01-01,2099-12-31,
385,0,RxNorm,Etoposide,1350504,RxNorm,1970-01-01,2099-12-31,
476,0,RxNorm,Aspirin 81 mg ,1113309,RxNorm,1970-01-01,2099-12-31,
459,0,RxNorm,Multivitamins,19008339,RxNorm,1970-01-01,2099-12-31,
330,0,RxNorm,Alteplase,1347450,RxNorm,1970-01-01,2099-12-31,
40,0,RxNorm,Calcium Carbonate,19035704,RxNorm,1970-01-01,2099-12-31,
532,0,RxNorm,Bengay Cream,19041930,RxNorm,1970-01-01,2099-12-31,
386,0,RxNorm,Cytarabine,1311078,RxNorm,1970-01-01,2099-12-31,
94,0,RxNorm,Neutra-Phos,40072722,RxNorm,1970-01-01,2099-12-31,
331,0,RxNorm,Fleet Enema,40065004,RxNorm,1970-01-01,2099-12-31,
184,0,RxNorm,Potassium Chloride Replacement (Oncology),19049105,RxNorm,1970-01-01,2099-12-31,
477,0,RxNorm,Lenalidomide (Revlimide)15mg ,19025426,RxNorm,1970-01-01,2099-12-31,
41,0,RxNorm,Rifaximin,1735947,RxNorm,1970-01-01,2099-12-31,
533,0,RxNorm,Iohexol 240,19080985,RxNorm,1970-01-01,2099-12-31,
332,0,RxNorm,Lidocaine 2%,989878,RxNorm,1970-01-01,2099-12-31,
95,0,RxNorm,Labetalol,1386957,RxNorm,1970-01-01,2099-12-31,
478,0,RxNorm,Psyllium,957797,RxNorm,1970-01-01,2099-12-31,
460,0,RxNorm,Nephrocaps,1343916,RxNorm,1970-01-01,2099-12-31,
387,0,RxNorm,Mitoxantrone HCl,1309188,RxNorm,1970-01-01,2099-12-31,
185,0,RxNorm,Hemorrhoidal Suppository,40166418,RxNorm,1970-01-01,2099-12-31,
42,0,RxNorm,LeVETiracetam,711584,RxNorm,1970-01-01,2099-12-31,
479,0,RxNorm,Psyllium Wafer,40074718,RxNorm,1970-01-01,2099-12-31,
534,0,RxNorm,Nicotine Polacrilex,42903857,RxNorm,1970-01-01,2099-12-31,
96,0,RxNorm,GlipiZIDE,1560171,RxNorm,1970-01-01,2099-12-31,
388,0,RxNorm,Voriconazole,1714277,RxNorm,1970-01-01,2099-12-31,
333,0,RxNorm,Readi-Cat 2 (Barium Sulfate 2% Suspension),19011331,RxNorm,1970-01-01,2099-12-31,
461,0,RxNorm,Diltiazem Extended-Release,40035694,RxNorm,1970-01-01,2099-12-31,
97,0,RxNorm,Haloperidol,766529,RxNorm,1970-01-01,2099-12-31,
186,0,RxNorm,Heparin Flush (100 units/ml),1367697,RxNorm,1970-01-01,2099-12-31,
43,0,RxNorm,Sulfameth/Trimethoprim DS,40101830,RxNorm,1970-01-01,2099-12-31,
389,0,RxNorm,Milrinone,1368671,RxNorm,1970-01-01,2099-12-31,
480,0,RxNorm,Metamucil Fiber Singles,19102639,RxNorm,1970-01-01,2099-12-31,
535,0,RxNorm,Cepastat (Phenol) Lozenge,42705722,RxNorm,1970-01-01,2099-12-31,
334,0,RxNorm,Thrombin,1300673,RxNorm,1970-01-01,2099-12-31,
98,0,RxNorm,Tizanidine,778474,RxNorm,1970-01-01,2099-12-31,
481,0,RxNorm,AndroGel,19076389,RxNorm,1970-01-01,2099-12-31,
390,0,RxNorm,Cosyntropin,19008009,RxNorm,1970-01-01,2099-12-31,
44,0,RxNorm,Docusate Sodium (Liquid),42706627,RxNorm,1970-01-01,2099-12-31,
482,0,RxNorm,Niacin,1517824,RxNorm,1970-01-01,2099-12-31,
335,0,RxNorm,Simethicone,966991,RxNorm,1970-01-01,2099-12-31,
536,0,RxNorm,Atropine Sulfate 1%,40243435,RxNorm,1970-01-01,2099-12-31,
99,0,RxNorm,Baclofen,715233,RxNorm,1970-01-01,2099-12-31,
187,0,RxNorm,Heparin Flush (1000 units/mL),1367697,RxNorm,1970-01-01,2099-12-31,
391,0,RxNorm,Ivermectin,1784444,RxNorm,1970-01-01,2099-12-31,
45,0,RxNorm,TiCAGRELOR,40241186,RxNorm,1970-01-01,2099-12-31,
462,0,RxNorm,Isosorbide Mononitrate (Extended Release),19064964,RxNorm,1970-01-01,2099-12-31,
537,0,RxNorm,Diazepam - CIWA protocol,723013,RxNorm,1970-01-01,2099-12-31,
483,0,RxNorm,GlipiZIDE XL,1560171,RxNorm,1970-01-01,2099-12-31,
463,0,RxNorm,Fluoxetine,755695,RxNorm,1970-01-01,2099-12-31,
336,0,RxNorm,Insulin (Regular) for Hyperkalemia,1586346,RxNorm,1970-01-01,2099-12-31,
100,0,RxNorm,ZIPRASidone Hydrochloride,42705353,RxNorm,1970-01-01,2099-12-31,
484,0,RxNorm,Nadolol,1313200,RxNorm,1970-01-01,2099-12-31,
188,0,RxNorm,Heparin Dwell (1000 Units/mL),1367697,RxNorm,1970-01-01,2099-12-31,
46,0,RxNorm,Metoprolol Tartrate,40167199,RxNorm,1970-01-01,2099-12-31,
538,0,RxNorm,Morphine Sulfate (Oral Soln.),40170024,RxNorm,1970-01-01,2099-12-31,
392,0,RxNorm,Ketamine (For Intubation),785649,RxNorm,1970-01-01,2099-12-31,
337,0,RxNorm,Morphine Sulfate,40169889,RxNorm,1970-01-01,2099-12-31,
101,0,RxNorm,Magnesium Oxide,993631,RxNorm,1970-01-01,2099-12-31,
464,0,RxNorm,Finasteride,996416,RxNorm,1970-01-01,2099-12-31,
485,0,RxNorm,Duloxetine,715259,RxNorm,1970-01-01,2099-12-31,
47,0,RxNorm,Darunavir,1756831,RxNorm,1970-01-01,2099-12-31,
189,0,RxNorm,Sodium CITRATE 4%,977968,RxNorm,1970-01-01,2099-12-31,
338,0,RxNorm,Tigecycline,1742432,RxNorm,1970-01-01,2099-12-31,
465,0,RxNorm,Paroxetine,722031,RxNorm,1970-01-01,2099-12-31,
486,0,RxNorm,Methimazole,1504620,RxNorm,1970-01-01,2099-12-31,
393,0,RxNorm,Ziprasidone Mesylate,712615,RxNorm,1970-01-01,2099-12-31,
339,0,RxNorm,Lidocaine-Prilocaine,951279,RxNorm,1970-01-01,2099-12-31,
48,0,RxNorm,Mupirocin Nasal Ointment 2%,40062277,RxNorm,1970-01-01,2099-12-31,
487,0,RxNorm,Fenofibrate,1551803,RxNorm,1970-01-01,2099-12-31,
539,0,RxNorm,Aluminum-Magnesium Hydrox.-Simethicone,40135214,RxNorm,1970-01-01,2099-12-31,
102,0,RxNorm,HYDROcodone-Acetaminophen (5mg-325mg),40002706,RxNorm,1970-01-01,2099-12-31,
466,0,RxNorm,Escitalopram Oxalate,40041668,RxNorm,1970-01-01,2099-12-31,
190,0,RxNorm,Neomycin-Polymyxin-Bacitracin,40013972,RxNorm,1970-01-01,2099-12-31,
