"","itemid","label","fluid","category"
"1",51277,"RDW","Blood","Hematology"
"2",51279,"Red Blood Cells","Blood","Hematology"
"3",52172,"RDW-SD","Blood","Hematology"
"4",51301,"White Blood Cells","Blood","Hematology"
"5",51249,"MCHC","Blood","Hematology"
"6",51221,"Hematocrit","Blood","Hematology"
"7",51222,"Hemoglobin","Blood","Hematology"
"8",51265,"Platelet Count","Blood","Hematology"
"9",51250,"MCV","Blood","Hematology"
"10",51248,"MCH","Blood","Hematology"
"11",51275,"PTT","Blood","Hematology"
"12",50902,"Chloride","Blood","Chemistry"
"13",50882,"Bicarbonate","Blood","Chemistry"
"14",50960,"Magnesium","Blood","Chemistry"
"15",50885,"Bilirubin, Total","Blood","Chemistry"
"16",51006,"Urea Nitrogen","Blood","Chemistry"
"17",50893,"Calcium, Total","Blood","Chemistry"
"18",50861,"Alanine Aminotransferase (ALT)","Blood","Chemistry"
"19",50983,"Sodium","Blood","Chemistry"
"20",50920,"Estimated GFR (MDRD equation)","Blood","Chemistry"
"21",51678,"L","Blood","Chemistry"
"22",50971,"Potassium","Blood","Chemistry"
"23",50868,"Anion Gap","Blood","Chemistry"
"24",50863,"Alkaline Phosphatase","Blood","Chemistry"
"25",50934,"H","Blood","Chemistry"
"26",51237,"INR(PT)","Blood","Hematology"
"27",50954,"Lactate Dehydrogenase (LD)","Blood","Chemistry"
"28",50947,"I","Blood","Chemistry"
"29",50912,"Creatinine","Blood","Chemistry"
"30",51274,"PT","Blood","Hematology"
"31",50931,"Glucose","Blood","Chemistry"
"32",50970,"Phosphate","Blood","Chemistry"
"33",50878,"Asparate Aminotransferase (AST)","Blood","Chemistry"
"34",51146,"Basophils","Blood","Hematology"
"35",51255,"Myelocytes","Blood","Hematology"
"36",52074,"Absolute Monocyte Count","Blood","Hematology"
"37",52073,"Absolute Eosinophil Count","Blood","Hematology"
"38",51133,"Absolute Lymphocyte Count","Blood","Hematology"
"39",52069,"Absolute Basophil Count","Blood","Hematology"
"40",51254,"Monocytes","Blood","Hematology"
"41",52075,"Absolute Neutrophil Count","Blood","Hematology"
"42",51200,"Eosinophils","Blood","Hematology"
"43",51266,"Platelet Smear","Blood","Hematology"
"44",51256,"Neutrophils","Blood","Hematology"
"45",51251,"Metamyelocytes","Blood","Hematology"
"46",51244,"Lymphocytes","Blood","Hematology"
"47",51144,"Bands","Blood","Hematology"
"48",51143,"Atypical Lymphocytes","Blood","Hematology"
"49",51267,"Poikilocytosis","Blood","Hematology"
"50",51252,"Microcytes","Blood","Hematology"
"51",51233,"Hypochromia","Blood","Hematology"
"52",51246,"Macrocytes","Blood","Hematology"
"53",51137,"Anisocytosis","Blood","Hematology"
"54",51268,"Polychromasia","Blood","Hematology"
