source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
51183,0,usagi,CD45,3045097,LOINC,1970-01-01,2099-12-31,
51411,0,usagi,CD45,3045097,LOINC,1970-01-01,2099-12-31,
51229,0,usagi,"Heparin, LMW",3046251,LOINC,1970-01-01,2099-12-31,
51336,0,usagi,Glyco A,42527819,LOINC,1970-01-01,2099-12-31,
50998,0,usagi,Transferrin,3042734,LOINC,1970-01-01,2099-12-31,
51106,0,usagi,Urine Creatinine,36304575,LOINC,1970-01-01,2099-12-31,
50970,0,usagi,Phosphate,3004538,LOINC,1970-01-01,2099-12-31,
51486,0,usagi,Leukocytes,3044864,LOINC,1970-01-01,2099-12-31,
52955,0,usagi,CD10,3030999,LOINC,1970-01-01,2099-12-31,
51193,0,usagi,CD71,3009872,LOINC,1970-01-01,2099-12-31,
51398,0,usagi,CD19,3029662,LOINC,1970-01-01,2099-12-31,
51315,0,usagi,CD20,3029955,LOINC,1970-01-01,2099-12-31,
51188,0,usagi,CD56,3010939,LOINC,1970-01-01,2099-12-31,
51168,0,usagi,CD20,3029955,LOINC,1970-01-01,2099-12-31,
51182,0,usagi,CD41,3029369,LOINC,1970-01-01,2099-12-31,
51519,0,usagi,Yeast,36303326,LOINC,1970-01-01,2099-12-31,
51309,0,usagi,CD14,3045694,LOINC,1970-01-01,2099-12-31,
50878,0,usagi,Asparate Aminotransferase (AST),3046412,LOINC,1970-01-01,2099-12-31,
52123,0,usagi,"G6PD, Qualitative",3033819,LOINC,1970-01-01,2099-12-31,
51109,0,usagi,"Urine Volume, Total",3036603,LOINC,1970-01-01,2099-12-31,
51238,0,usagi,Kappa,3017024,LOINC,1970-01-01,2099-12-31,
51331,0,usagi,CD64,3030234,LOINC,1970-01-01,2099-12-31,
51516,0,usagi,WBC,3008199,LOINC,1970-01-01,2099-12-31,
50874,0,usagi,"Anti-Nuclear Antibody, Titer",1617093,LOINC,1970-01-01,2099-12-31,
51320,0,usagi,CD33,3030749,LOINC,1970-01-01,2099-12-31,
50953,0,usagi,"Iron Binding Capacity, Total",44816693,LOINC,1970-01-01,2099-12-31,
51340,0,usagi,Kappa,3017024,LOINC,1970-01-01,2099-12-31,
51722,0,usagi,RFXLDLM,3036406,LOINC,1970-01-01,2099-12-31,
51146,0,usagi,Basophils,46235902,LOINC,1970-01-01,2099-12-31,
51493,0,usagi,RBC,3023668,LOINC,1970-01-01,2099-12-31,
51230,0,usagi,HLA-DR,3028765,LOINC,1970-01-01,2099-12-31,
51326,0,usagi,CD5,3035527,LOINC,1970-01-01,2099-12-31,
51152,0,usagi,CD10,3030999,LOINC,1970-01-01,2099-12-31,
51332,0,usagi,CD7,3035186,LOINC,1970-01-01,2099-12-31,
51333,0,usagi,CD71,3009872,LOINC,1970-01-01,2099-12-31,
51081,0,usagi,"Creatinine, Serum",40762895,LOINC,1970-01-01,2099-12-31,
51323,0,usagi,CD4,44816731,LOINC,1970-01-01,2099-12-31,
51255,0,usagi,Myelocytes,46235898,LOINC,1970-01-01,2099-12-31,
51334,0,usagi,CD8,3020696,LOINC,1970-01-01,2099-12-31,
51130,0,usagi,Absolute CD3 Count,36031808,LOINC,1970-01-01,2099-12-31,
51319,0,usagi,CD3,3029688,LOINC,1970-01-01,2099-12-31,
50980,0,usagi,Rheumatoid Factor,3043745,LOINC,1970-01-01,2099-12-31,
50906,0,usagi,"Cholesterol, LDL, Measured",3008631,LOINC,1970-01-01,2099-12-31,
51466,0,usagi,Blood,3010421,LOINC,1970-01-01,2099-12-31,
51234,0,usagi,Immunophenotyping,1176291,LOINC,1970-01-01,2099-12-31,
52074,0,usagi,Absolute Monocyte Count,3011429,LOINC,1970-01-01,2099-12-31,
51156,0,usagi,CD13,3030239,LOINC,1970-01-01,2099-12-31,
51245,0,usagi,"Lymphocytes, Percent",46235445,LOINC,1970-01-01,2099-12-31,
52009,0,usagi,UTX6,21494935,LOINC,1970-01-01,2099-12-31,
51154,0,usagi,CD117,3029974,LOINC,1970-01-01,2099-12-31,
51028,0,usagi,"Bilirubin, Total, Body Fluid",3045256,LOINC,1970-01-01,2099-12-31,
52006,0,usagi,UTX3,3022975,LOINC,1970-01-01,2099-12-31,
51102,0,usagi,"Total Protein, Urine",40764107,LOINC,1970-01-01,2099-12-31,
52769,0,usagi,Absolute Lymphocyte Count,46235812,LOINC,1970-01-01,2099-12-31,
51259,0,usagi,Other Cells,3039404,LOINC,1970-01-01,2099-12-31,
51194,0,usagi,"CD8 Cells, Percent",21494814,LOINC,1970-01-01,2099-12-31,
52073,0,usagi,Absolute Eosinophil Count,3032917,LOINC,1970-01-01,2099-12-31,
52010,0,usagi,UTX7,3006311,LOINC,1970-01-01,2099-12-31,
50976,0,usagi,"Protein, Total",40763399,LOINC,1970-01-01,2099-12-31,
51069,0,usagi,"Albumin, Urine",3029937,LOINC,1970-01-01,2099-12-31,
51132,0,usagi,Absolute CD8 Count,36660032,LOINC,1970-01-01,2099-12-31,
51513,0,usagi,Urine Specimen Type,40769406,LOINC,1970-01-01,2099-12-31,
51133,0,usagi,Absolute Lymphocyte Count,46235812,LOINC,1970-01-01,2099-12-31,
52007,0,usagi,UTX4,3042385,LOINC,1970-01-01,2099-12-31,
52266,0,usagi,Macrophage,40766278,LOINC,1970-01-01,2099-12-31,
51180,0,usagi,"CD4 Cells, Percent",21494815,LOINC,1970-01-01,2099-12-31,
50930,0,usagi,Globulin,3021886,LOINC,1970-01-01,2099-12-31,
51070,0,usagi,"Albumin/Creatinine, Urine",3034485,LOINC,1970-01-01,2099-12-31,
