"","itemid","label"
"1",51277,"RDW"
"2",51279,"Red Blood Cells"
"3",52172,"RDW-SD"
"4",51301,"White Blood Cells"
"5",51249,"MCHC"
"6",51221,"Hematocrit"
"7",51222,"Hemoglobin"
"8",51265,"Platelet Count"
"9",51250,"MCV"
"10",51248,"MCH"
"11",51275,"PTT"
"12",50902,"Chloride"
"13",50882,"Bicarbonate"
"14",50960,"Magnesium"
"15",50885,"Bilirubin, Total"
"16",51006,"Urea Nitrogen"
"17",50893,"Calcium, Total"
"18",50861,"Alanine Aminotransferase (ALT)"
"19",50983,"Sodium"
"20",50920,"Estimated GFR (MDRD equation)"
"21",51678,"L"
"22",50971,"Potassium"
"23",50868,"Anion Gap"
"24",50863,"Alkaline Phosphatase"
"25",50934,"H"
"26",51237,"INR(PT)"
"27",50954,"Lactate Dehydrogenase (LD)"
"28",50947,"I"
"29",50912,"Creatinine"
"30",51274,"PT"
"31",50931,"Glucose"
"32",50970,"Phosphate"
"33",50878,"Asparate Aminotransferase (AST)"
"34",51146,"Basophils"
"35",51255,"Myelocytes"
"36",52074,"Absolute Monocyte Count"
"37",52073,"Absolute Eosinophil Count"
"38",51133,"Absolute Lymphocyte Count"
"39",52069,"Absolute Basophil Count"
"40",51254,"Monocytes"
"41",52075,"Absolute Neutrophil Count"
"42",51200,"Eosinophils"
"43",51266,"Platelet Smear"
"44",51256,"Neutrophils"
"45",51251,"Metamyelocytes"
"46",51244,"Lymphocytes"
"47",51144,"Bands"
"48",51143,"Atypical Lymphocytes"
"49",51267,"Poikilocytosis"
"50",51252,"Microcytes"
"51",51233,"Hypochromia"
"52",51246,"Macrocytes"
"53",51137,"Anisocytosis"
"54",51268,"Polychromasia"
"55",51214,"Fibrinogen, Functional"
"56",51007,"Uric Acid"
"57",51257,"Nucleated Red Cells"
"58",51148,"Blasts"
"59",51260,"Ovalocytes"
"60",50862,"Albumin"
"61",51296,"Teardrop Cells"
"62",52135,"Immature Granulocytes"
"63",51087,"Length of Urine Collection"
"64",51082,"Creatinine, Urine"
"65",51512,"Urine Mucous"
"66",51498,"Specific Gravity"
"67",51464,"Bilirubin"
"68",51476,"Epithelial Cells"
"69",51506,"Urine Appearance"
"70",51484,"Ketone"
"71",51508,"Urine Color"
"72",51487,"Nitrite"
"73",51463,"Bacteria"
"74",51491,"pH"
"75",51492,"Protein"
"76",51478,"Glucose"
"77",51514,"Urobilinogen"
"78",51486,"Leukocytes"
"79",51519,"Yeast"
"80",51516,"WBC"
"81",51493,"RBC"
"82",51466,"Blood"
"83",51259,"Other Cells"
"84",50976,"Protein, Total"
"85",50930,"Globulin"
"86",50924,"Ferritin"
"87",51613,"eAG"
"88",50852,"% Hemoglobin A1c"
"89",50910,"Creatine Kinase (CK)"
"90",50933,"Green Top Hold (plasma)"
"91",50979,"Red Top Hold"
"92",50955,"Light Green Top Hold"
"93",51219,"H/O Smear"
"94",51292,"Spherocytes"
"95",51283,"Reticulocyte Count, Automated"
"96",51282,"Reticulocyte Count, Absolute"
"97",51658,"HPE2"
"98",50943,"Hepatitis C Virus Antibody"
"99",50940,"Hepatitis B Surface Antibody"
"100",50942,"Hepatitis B Virus Core Antibody"
"101",51657,"HPE1"
"102",51663,"HPE7"
"103",50941,"Hepatitis B Surface Antigen"
"104",51659,"HPE3"
"105",50935,"Haptoglobin"
"106",51263,"Plasma Cells"
"107",51010,"Vitamin B12"
"108",50993,"Thyroid Stimulating Hormone"
"109",50967,"Phenytoin"
"110",50831,"pH"
"111",51009,"Vancomycin"
"112",50841,"Creatinine, Ascites"
"113",50843,"Lactate Dehydrogenase, Ascites"
"114",50838,"Bilirubin, Total, Ascites"
"115",50849,"Total Protein, Ascites"
"116",50835,"Albumin, Ascites"
"117",51123,"Other"
"118",51114,"Eosinophils"
"119",51116,"Lymphocytes"
"120",51120,"Monocytes"
"121",51117,"Macrophage"
"122",51125,"Polys"
"123",51118,"Mesothelial Cell"
"124",52065,"Total Nucleated Cells, Ascites"
"125",51127,"RBC, Ascites"
"126",50919,"EDTA Hold"
"127",50956,"Lipase"
"128",50824,"Sodium, Whole Blood"
"129",52033,"Specimen Type"
"130",50820,"pH"
"131",50821,"pO2"
"132",50817,"Oxygen Saturation"
"133",50813,"Lactate"
"134",50818,"pCO2"
"135",50802,"Base Excess"
"136",50804,"Calculated Total CO2"
"137",51287,"Schistocytes"
"138",50867,"Amylase"
"139",50808,"Free Calcium"
"140",50975,"Protein Electrophoresis"
"141",51752,"Voided Specimen"
"142",51706,"Problem Specimen"
"143",51147,"Bite Cells"
"144",51195,"Collagen"
"145",51135,"ADP"
"146",51142,"Arachadonic Acid"
"147",51108,"Urine Volume"
"148",51094,"pH"
"149",51067,"24 hr Creatinine"
"150",51104,"Urea Nitrogen, Urine"
"151",51078,"Chloride, Urine"
"152",51097,"Potassium, Urine"
"153",51100,"Sodium, Urine"
"154",51101,"Total Collection Time"
"155",51080,"Creatinine Clearance"
"156",51106,"Urine Creatinine"
"157",51109,"Urine Volume, Total"
"158",51081,"Creatinine, Serum"
"159",51102,"Total Protein, Urine"
