source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
379,0,med,Propofol,753626,RxNorm,1970-01-01,2099-12-31,
37,0,med,Heparin,36309654,LOINC,1970-01-01,2099-12-31,
523,0,med,Alprazolam,36308044,LOINC,1970-01-01,2099-12-31,
325,0,med,CeftriaXONE,1777806,RxNorm,1970-01-01,2099-12-31,
451,0,med,DULoxetine,715259,RxNorm,1970-01-01,2099-12-31,
469,0,med,Aspirin 81 mg,1113309,RxNorm,1970-01-01,2099-12-31,
524,0,med,TraMADol,36308169,LOINC,1970-01-01,2099-12-31,
91,0,med,Nystatin Cream,40068160,RxNorm,1970-01-01,2099-12-31,
181,0,med,Cepacol (Menthol),19123003,RxNorm,1970-01-01,2099-12-31,
38,0,med,LevETIRAcetam,711584,RxNorm,1970-01-01,2099-12-31,
452,0,med,Multivitamins,35821116,UK Biobank,1970-01-01,2099-12-31,
326,0,med,DiphenhydrAMINE,1129625,RxNorm,1970-01-01,2099-12-31,
92,0,med,Lactulose,987245,RxNorm,1970-01-01,2099-12-31,
525,0,med,Bengay Cream,41887158,OSM,1970-01-01,2099-12-31,
380,0,med,Tacrolimus Suspension,21121925,RxNorm Extension,1970-01-01,2099-12-31,
39,0,med,Raltegravir,1712889,RxNorm,1970-01-01,2099-12-31,
453,0,med,Nephrocaps,4203906,SNOMED,1970-01-01,2099-12-31,
470,0,med,Lenalidomide (Revlimide)15mg,19025428,RxNorm,1970-01-01,2099-12-31,
526,0,med,Iohexol 240,44053003,RxNorm Extension,1970-01-01,2099-12-31,
93,0,med,Neutra-Phos,35627030,SNOMED,1970-01-01,2099-12-31,
381,0,med,Etoposide,1350504,RxNorm,1970-01-01,2099-12-31,
471,0,med,Psyllium,957797,RxNorm,1970-01-01,2099-12-31,
94,0,med,Labetalol,1386957,RxNorm,1970-01-01,2099-12-31,
40,0,med,Calcium Carbonate,19035704,RxNorm,1970-01-01,2099-12-31,
382,0,med,Cytarabine,1311078,RxNorm,1970-01-01,2099-12-31,
472,0,med,Psyllium Wafer,40074718,RxNorm,1970-01-01,2099-12-31,
95,0,med,GlipiZIDE,1560171,RxNorm,1970-01-01,2099-12-31,
41,0,med,Rifaximin,1735947,RxNorm,1970-01-01,2099-12-31,
454,0,med,Diltiazem Extended-Release,40035694,RxNorm,1970-01-01,2099-12-31,
527,0,med,Nicotine Polacrilex,42903857,RxNorm,1970-01-01,2099-12-31,
182,0,med,Potassium Chloride Replacement (Oncology),19049105,RxNorm,1970-01-01,2099-12-31,
96,0,med,Haloperidol,766529,RxNorm,1970-01-01,2099-12-31,
383,0,med,Mitoxantrone HCl,1309188,RxNorm,1970-01-01,2099-12-31,
42,0,med,LeVETiracetam,711584,RxNorm,1970-01-01,2099-12-31,
473,0,med,Metamucil Fiber Singles,4098786,SNOMED,1970-01-01,2099-12-31,
97,0,med,Tizanidine,778474,RxNorm,1970-01-01,2099-12-31,
384,0,med,Voriconazole,1714277,RxNorm,1970-01-01,2099-12-31,
327,0,med,PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose),4180457,SNOMED,1970-01-01,2099-12-31,
528,0,med,Cepastat (Phenol) Lozenge,42705722,RxNorm,1970-01-01,2099-12-31,
474,0,med,AndroGel,4122788,SNOMED,1970-01-01,2099-12-31,
98,0,med,Baclofen,715233,RxNorm,1970-01-01,2099-12-31,
43,0,med,Sulfameth/Trimethoprim DS,40101830,RxNorm,1970-01-01,2099-12-31,
183,0,med,Hemorrhoidal Suppository,195562,SNOMED,1970-01-01,2099-12-31,
475,0,med,Niacin,1517824,RxNorm,1970-01-01,2099-12-31,
328,0,med,Alteplase,1347450,RxNorm,1970-01-01,2099-12-31,
385,0,med,Milrinone,1368671,RxNorm,1970-01-01,2099-12-31,
476,0,med,GlipiZIDE XL,1560171,RxNorm,1970-01-01,2099-12-31,
386,0,med,Cosyntropin,19008009,RxNorm,1970-01-01,2099-12-31,
329,0,med,Fleet Enema,42043148,OSM,1970-01-01,2099-12-31,
477,0,med,Nadolol,1313200,RxNorm,1970-01-01,2099-12-31,
529,0,med,Atropine Sulfate 1%,40243435,RxNorm,1970-01-01,2099-12-31,
44,0,med,Docusate Sodium (Liquid),42706627,RxNorm,1970-01-01,2099-12-31,
455,0,med,Isosorbide Mononitrate (Extended Release),19064964,RxNorm,1970-01-01,2099-12-31,
99,0,med,ZIPRASidone Hydrochloride,42705353,RxNorm,1970-01-01,2099-12-31,
184,0,med,Heparin Flush (100 units/ml),35134940,RxNorm Extension,1970-01-01,2099-12-31,
478,0,med,Duloxetine,715259,RxNorm,1970-01-01,2099-12-31,
387,0,med,Ivermectin,1784444,RxNorm,1970-01-01,2099-12-31,
456,0,med,Fluoxetine,755695,RxNorm,1970-01-01,2099-12-31,
330,0,med,Lidocaine 2%,989878,RxNorm,1970-01-01,2099-12-31,
45,0,med,TiCAGRELOR,36309142,LOINC,1970-01-01,2099-12-31,
530,0,med,Diazepam - CIWA protocol,36309606,LOINC,1970-01-01,2099-12-31,
100,0,med,Magnesium Oxide,4279477,SNOMED,1970-01-01,2099-12-31,
479,0,med,Methimazole,4293598,SNOMED,1970-01-01,2099-12-31,
457,0,med,Finasteride,996416,RxNorm,1970-01-01,2099-12-31,
