source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
5,0,races/ethnicities,OTHER,38003564,Ethnicity,1970-01-01,2099-12-31,
10,0,races/ethnicities,PORTUGUESE,38003614,Race,1970-01-01,2099-12-31,
2,0,races/ethnicities,HISPANIC/LATINO - PUERTO RICAN,38003563,Ethnicity,1970-01-01,2099-12-31,
11,0,races/ethnicities,HISPANIC/LATINO - CUBAN,38003563,Ethnicity,1970-01-01,2099-12-31,
9,0,races/ethnicities,WHITE - OTHER EUROPEAN,38003614,Race,1970-01-01,2099-12-31,
4,0,races/ethnicities,UNKNOWN,38003564,Ethnicity,1970-01-01,2099-12-31,
13,0,races/ethnicities,WHITE - BRAZILIAN,8527,Race,1970-01-01,2099-12-31,
8,0,races/ethnicities,UNABLE TO OBTAIN,38003564,Ethnicity,1970-01-01,2099-12-31,
14,0,races/ethnicities,HISPANIC OR LATINO,38003563,Ethnicity,1970-01-01,2099-12-31,
12,0,races/ethnicities,PATIENT DECLINED TO ANSWER,38003564,Ethnicity,1970-01-01,2099-12-31,
3,0,races/ethnicities,WHITE,8527,Race,1970-01-01,2099-12-31,
1,0,races/ethnicities,BLACK/CAPE VERDEAN,38003598,Race,1970-01-01,2099-12-31,
7,0,races/ethnicities,HISPANIC/LATINO - SALVADORAN,38003563,Ethnicity,1970-01-01,2099-12-31,
6,0,races/ethnicities,BLACK/AFRICAN AMERICAN,8516,Race,1970-01-01,2099-12-31,
